player_height,player_weight,pts,reb,ast,net_rating,usg_pct,ts_pct
198.12,97.975872,12.3,3.1,1.8,-3.6,0.212,0.529
200.66,104.32616,20.8,6.6,3,-3.8,0.285,0.519
203.2,99.79024,9,2.5,1,-1.1,0.166,0.563
190.5,86.636072,18.3,4.7,6.3,-1.8,0.245,0.54
200.66,97.52228,4.7,2.7,0.5,3.7,0.198,0.51
203.2,106.59412,4.5,4.4,1.3,4.8,0.133,0.464
203.2,113.398,6,3.6,1,-2.7,0.185,0.549
193.04,81.64656,20.4,4.2,8.3,-1,0.259,0.504
187.96,98.883056,1.2,0.5,0.3,-4.6,0.128,0.446
195.58,95.25432,2.3,2.2,1.1,0.1,0.098,0.486
190.5,92.98636,1.3,0.9,1.6,-29.2,0.146,0.393
193.04,86.18248,1.9,0.3,0.4,-4.1,0.316,0.391
210.82,115.66596,1,1.7,0.4,-6.1,0.089,0.409
208.28,117.93392,4.8,4.3,0.1,0.6,0.176,0.55
210.82,115.66596,2.2,4.3,0.3,2.2,0.077,0.492
190.5,95.25432,6.5,2,2.9,2.5,0.186,0.547
210.82,120.20188,8.2,6.6,0.7,-4.3,0.158,0.543
203.2,99.79024,9.1,4.7,1.7,1.9,0.155,0.538
190.5,92.532768,12.9,3.7,6.6,1,0.168,0.546
198.12,97.52228,9.7,2.5,1.1,0.2,0.184,0.601
195.58,88.45044,3.7,1.8,1.5,-6,0.167,0.45
203.2,120.20188,18.5,11.3,2.5,-2.7,0.223,0.543
210.82,113.398,1.5,0.7,0.2,-12,0.2,0.413
195.58,95.25432,6.9,2.3,2.6,9.6,0.175,0.593
185.42,81.64656,0,0,1,-3.9,0.282,0
193.04,87.996848,1.4,0.6,0.6,-5.8,0.262,0.319
190.5,83.91452,19.7,4.4,5.8,-1.2,0.262,0.565
205.74,115.66596,4.4,5.5,1,-2.7,0.137,0.465
210.82,120.20188,4.5,4.6,0.3,15.1,0.156,0.497
205.74,108.86208,5.7,3.3,1,1.9,0.187,0.496
208.28,117.93392,4,2.8,0.3,-4.8,0.177,0.44
203.2,103.418976,10.8,4.3,4.5,8.2,0.199,0.52
200.66,102.965384,4.8,2.4,0.9,-3.3,0.182,0.512
208.28,113.398,2.3,1.5,0.1,-1.7,0.167,0.412
208.28,117.93392,4.2,3.1,1,-10.7,0.132,0.46
185.42,91.171992,8,2.2,3.4,-3.2,0.177,0.503
203.2,106.59412,1.9,2.1,0.2,-5.6,0.159,0.339
198.12,95.25432,8.4,3.1,1.1,-1.2,0.197,0.553
215.9,151.95332,27.5,11.1,3.1,6.9,0.303,0.602
205.74,108.86208,19.9,8.4,3,-2.6,0.245,0.566
208.28,127.00576,6.8,5.7,0.7,-2.3,0.187,0.468
200.66,97.52228,21.2,9.5,2.4,0.8,0.232,0.538
208.28,115.66596,4.4,2.4,0.3,-5.3,0.22,0.46
193.04,81.64656,6.2,1.8,2.5,-9.6,0.202,0.523
208.28,108.86208,1.7,1.8,0.3,-10,0.15,0.442
180.34,75.296272,5.8,1.9,2.5,1.7,0.203,0.509
203.2,96.615096,3,1.7,1,5.4,0.14,0.474
203.2,99.79024,11.8,3.6,2.3,5.2,0.22,0.526
203.2,99.79024,9.7,4.4,1.3,-2.2,0.131,0.597
205.74,99.79024,3.6,2.5,0.9,-3.8,0.116,0.519
208.28,124.7378,0.7,0.1,0.1,-61.3,0.145,0.434
195.58,101.604608,8.3,3.4,1.3,4,0.204,0.53
208.28,97.52228,18.1,6.5,1.7,-1.6,0.223,0.537
210.82,104.32616,18.1,7.4,2.1,5.7,0.233,0.552
213.36,112.490816,11.2,6.5,1.5,2.3,0.176,0.536
200.66,92.98636,7.5,2.6,1.3,-8,0.215,0.437
